,Winner
6307,Red
1947,Red
4575,Red
5092,Blue
2917,Blue
5032,Red
2053,Red
5947,Red
2150,Blue
5255,Blue
1804,Blue
6642,Red
1451,Red
2417,Blue
2384,Blue
2703,Red
1565,Red
5061,Blue
1250,Blue
6464,Red
1866,Red
4218,Red
647,Blue
5612,Red
172,Red
6055,Red
1288,Red
793,Blue
6337,Red
4458,Red
3762,Red
90,Blue
1447,Blue
2655,Red
4216,Blue
3859,Red
6281,Red
3367,Blue
3034,Red
5040,Blue
1331,Red
3739,Red
3585,Red
1727,Blue
5113,Red
840,Red
5165,Red
1900,Blue
4292,Blue
786,Red
2965,Red
4488,Blue
2895,Blue
4095,Blue
2598,Blue
609,Blue
1384,Blue
251,Blue
498,Red
5665,Red
1436,Blue
5064,Red
6116,Red
5522,Red
853,Red
3394,Red
2172,Red
5650,Red
183,Red
6341,Red
1253,Red
3487,Red
3214,Blue
5794,Red
1715,Red
5349,Red
6229,Red
6074,Red
6718,Red
4667,Red
1997,Red
6000,Red
6006,Red
522,Red
6358,Red
4762,Red
141,Red
3727,Blue
2360,Blue
2755,Red
4045,Blue
5297,Blue
2498,Red
2777,Blue
1280,Red
1667,Blue
2251,Red
4169,Red
5429,Red
2131,Blue
6327,Red
5512,Red
5741,Red
2148,Blue
111,Red
2345,Blue
2130,Blue
6145,Red
4313,Blue
4480,Blue
1511,Blue
5112,Red
3217,Red
3861,Blue
6142,Red
4359,Red
5753,Red
5183,Red
3107,Blue
3179,Red
4714,Red
4856,Blue
4197,Red
1645,Red
2940,Blue
6131,Red
1536,Red
803,Red
3621,Red
3888,Red
2800,Red
1573,Blue
287,Blue
1017,Blue
19,Red
389,Red
3799,Red
2263,Red
410,Red
6168,Red
5126,Red
4705,Blue
2635,Red
5779,Red
4347,Blue
5399,Red
431,Red
4747,Red
5490,Red
4528,Red
2532,Blue
5456,Red
2516,Red
6677,Red
5626,Red
1836,Blue
6256,Red
3660,Red
838,Red
3065,Red
862,Blue
3980,Red
3449,Red
6347,Red
3705,Blue
4597,Red
3033,Blue
4933,Red
1075,Blue
4433,Red
1203,Red
3306,Red
4181,Blue
6330,Red
1235,Red
88,Red
1766,Red
4665,Blue
5617,Red
4153,Blue
874,Red
6146,Red
1698,Blue
4106,Blue
1599,Red
266,Blue
4356,Red
1039,Red
3575,Red
2689,Blue
6429,Red
3596,Red
424,Blue
4948,Red
5592,Red
6546,Red
6264,Red
1619,Blue
3889,Red
3276,Red
2043,Blue
5870,Red
756,Red
435,Blue
160,Red
4612,Blue
1373,Red
2466,Blue
2756,Blue
119,Red
2366,Blue
1763,Red
6328,Red
3126,Red
2052,Red
3120,Red
4516,Red
6707,Red
737,Red
4939,Red
6280,Red
312,Red
4142,Red
4962,Red
2533,Blue
6240,Red
1244,Blue
2672,Red
2167,Blue
3115,Blue
1844,Blue
2368,Red
85,Red
2113,Blue
3327,Blue
706,Blue
6008,Red
4339,Red
4492,Blue
6309,Red
4941,Blue
531,Blue
3653,Red
6360,Red
2435,Red
6589,Red
6188,Red
6093,Red
2118,Red
5463,Red
4124,Blue
6285,Red
2444,Red
2789,Blue
3704,Blue
5639,Red
2625,Red
4611,Red
1114,Red
93,Red
3906,Blue
5375,Red
5180,Blue
4451,Red
3650,Red
358,Blue
5370,Red
5071,Red
150,Blue
5868,Red
3783,Blue
1658,Red
2413,Red
1504,Red
567,Red
1071,Red
1045,Blue
1686,Blue
4752,Blue
3679,Red
1914,Red
5192,Blue
2422,Red
1377,Red
2124,Red
2922,Red
5215,Blue
6630,Red
1995,Red
3234,Red
6004,Red
4658,Red
6365,Red
1454,Red
3568,Blue
75,Red
1672,Red
4914,Blue
4703,Red
27,Blue
1545,Blue
1459,Red
2093,Red
3562,Red
403,Blue
300,Blue
1712,Red
3987,Blue
734,Blue
4469,Red
904,Red
6299,Red
1815,Blue
3206,Blue
6640,Red
2928,Red
836,Red
144,Blue
554,Blue
5468,Red
3219,Blue
2411,Blue
5249,Blue
248,Blue
3629,Blue
2740,Blue
29,Red
6339,Red
5727,Red
1142,Blue
78,Blue
5449,Red
1313,Blue
5283,Red
6267,Red
5309,Red
4400,Red
4355,Red
3470,Red
1492,Red
6714,Red
4083,Red
1864,Blue
3792,Red
4267,Red
6276,Red
2329,Blue
3288,Red
2626,Red
6466,Red
4799,Blue
1933,Blue
5681,Red
5576,Red
1503,Red
6402,Red
5034,Red
2026,Blue
6408,Red
6379,Red
5588,Red
988,Red
3202,Red
4985,Red
1466,Red
4428,Red
6645,Red
3817,Blue
3135,Blue
2550,Blue
1800,Red
34,Red
5478,Red
440,Red
3589,Red
1139,Red
3903,Red
5326,Red
2039,Blue
5975,Red
127,Blue
4028,Blue
5532,Red
6585,Red
3831,Red
757,Red
2303,Blue
1687,Blue
4475,Blue
1572,Blue
3331,Red
3407,Blue
6163,Red
2266,Red
2531,Blue
5132,Blue
977,Red
5776,Red
2697,Blue
5158,Red
2027,Red
4887,Blue
685,Red
4417,Red
2149,Red
2795,Blue
6303,Red
2393,Blue
4455,Red
6616,Red
3499,Red
1740,Blue
924,Blue
770,Red
1062,Red
4771,Red
2739,Red
2330,Blue
4367,Red
2629,Red
4130,Red
1869,Blue
4801,Blue
550,Blue
4951,Blue
2808,Red
5163,Red
135,Red
6494,Red
6695,Red
68,Red
6115,Red
3349,Red
2479,Blue
938,Red
2551,Red
5172,Red
5881,Red
6614,Red
6719,Red
3553,Red
5597,Red
6625,Red
4073,Blue
4534,Red
5977,Red
4852,Red
2710,Red
546,Red
671,Blue
1609,Red
4923,Blue
379,Blue
5376,Blue
5873,Red
5202,Red
4724,Red
6164,Red
2218,Blue
1945,Red
4456,Red
25,Blue
4014,Red
623,Red
6536,Red
3138,Blue
6010,Red
5832,Red
5066,Red
4176,Red
3678,Red
6250,Red
1994,Blue
6078,Red
3748,Red
4947,Blue
6150,Red
5344,Red
4798,Red
430,Red
6114,Red
2432,Blue
3461,Red
4743,Red
1611,Blue
5486,Red
6551,Red
3609,Blue
919,Blue
666,Red
5682,Red
1317,Red
2648,Red
1520,Red
26,Blue
563,Red
313,Red
6554,Red
5391,Red
337,Red
2724,Blue
2941,Blue
1037,Red
198,Blue
5981,Red
3937,Red
2433,Blue
5007,Red
5206,Red
4333,Red
1316,Red
3883,Blue
1189,Red
2434,Red
5602,Red
6009,Red
2674,Red
5233,Red
284,Blue
5462,Red
2012,Blue
6311,Red
526,Red
6519,Red
436,Red
4709,Red
